tweet_id,message,intent,decision,draft_reply,grounding_context,human_groundedness,human_helpfulness,human_tone,human_conciseness,human_overall,judge_groundedness,judge_helpfulness,judge_tone,judge_conciseness,judge_overall
1605541,Yo @AppleSupport why is this happening? https://t.co/mw1xmU2BAC,device_software_issue,auto_handle,@565218 We can assist you. Please DM us your device model via the following link and we'll help you further from there. https://t.co/GDrqU22YpT,"Past customer: Yo @AppleSupport https://t.co/bNklKrd7Lr
Apple reply: @565218 We can assist you. Please DM us your device model via the following link and we'll help you further from there. https://t.co/GDrqU22YpT

Past customer: @AppleSupport yo why does this keep happening when I️ type I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️
Apple reply: @435251 We've just released an article here that can help: https://t.co/pjfPUtm7HO
DM us with any questions. https://t.co/GDrqU22YpT

Past customer: Yo @AppleSupport I️ I️ I️ I️ I️ I️ I️ I️
Apple reply: @129211 We're here to help. Send us a DM with your iOS version, and we'll continue there. https://t.co/GDrqU22YpT",4.0,2.0,4.0,5.0,3,5,4,5,4,4
2801504,hey @AppleSupport literally when will my phone stop making I.T look like I.T can you please send out an update already I.T is ridiculous,device_software_issue,auto_handle,"@696989 If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwTn4fE","Past customer: hey @AppleSupport literally when will my phone stop making I.T look like I.T can you please send out an update already I.T is ridiculous
Apple reply: @696989 If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwTn4fE

Past customer: @AppleSupport why does my phone keep making I️ look like this 🤨🤨🤨
Apple reply: @498613 We want to help. Take a look at this article for a workaround to this issue: https://t.co/uQeXsrrlXJ

Past customer: @AppleSupport  hey look I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️
Apple reply: @528837 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",4.0,3.0,4.0,5.0,3,5,4,5,4,4
2779309,"@AppleSupport How to solve some. Sorry, but I will not get into that site.",device_software_issue,auto_handle,@776311 Can you tell us what you need assistance with? We're glad to assist you. You can send us a DM. https://t.co/GDrqU22YpT,"Past customer: @AppleSupport How to solve some. Sorry, but I will not get into that site.
Apple reply: @776311 Can you tell us what you need assistance with? We're glad to assist you. You can send us a DM. https://t.co/GDrqU22YpT

Past customer: @AppleSupport Sorry. 11.1.1
Apple reply: @734398 Thanks! Join us in DM with more details. We're curious if you notice the iPhone behaving slow in certain apps or while performing certain functions. https://t.co/GDrqU22YpT

Past customer: @AppleSupport @176635 is there any official site to buy #Iphone through online site?
Apple reply: @508332 We want to help. Please tell us more about what you're trying to do via DM. https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,5,3,4,3,3
2187688,"@AppleSupport now update is not showing nor installing any application 😡 
#ios11 #iphone5s #Cellular https://t.co/xHgkxfIF7O",device_software_issue,auto_handle,"@430806 Let's team up on this. Send us a DM with more information, and we'll meet you there. https://t.co/GDrqU22YpT","Past customer: @AppleSupport now update is not showing nor installing any application 😡 
#ios11 #iphone5s #Cellular https://t.co/xHgkxfIF7O
Apple reply: @430806 Let's team up on this. Send us a DM with more information, and we'll meet you there. https://t.co/GDrqU22YpT

Past customer: @AppleSupport Please look into my issue. #iOS11 #iPhone5s
Apple reply: @610687 We'd like to learn more about this experience. Send a DM letting us know the country you're located in &amp; more details. https://t.co/GDrqU22YpT

Past customer: #iOS11 is draining battery. #iphone5s @115858 @AppleSupport
Apple reply: @141102 We can help with battery life. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,5,3,4,3,3
755767,@300641 @AppleSupport If you put each on on your phone at the times you need them too But i dont own a watch yet. I just use the reminders on the phone or alarms,device_software_issue,auto_handle,"@161538 Being late is never fun, so let's look into this together. Could you join us in DM with more info? https://t.co/GDrqU22YpT","Past customer: WHY DONT APPLE ALARMS WORK!? @AppleSupport
Apple reply: @161538 Being late is never fun, so let's look into this together. Could you join us in DM with more info? https://t.co/GDrqU22YpT

Past customer: @AppleSupport PLEASE FIX MY PHONE I️ DONT LIKE THIS
Apple reply: @223862 We can help with our device. Which iPhone do you currently own and what is the current running iOS version in Settings &gt; General &gt; About?

Past customer: @AppleSupport no i dont
Apple reply: @174192 Were these photos taken with your device or were they obtained through other sources? Send us a DM to continue. https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,3,2,4,3,3
257771,@AppleSupport Ever since I updated my phone to the new iOS. My phone would randomly restart again.,device_software_issue,auto_handle,@177321 Thanks for this. Which iPhone are you using? Let us know via DM and we'll continue from there: https://t.co/GDrqU22YpT,"Past customer: @AppleSupport Ever since I updated my phone to the new iOS. My phone would randomly restart again.
Apple reply: @177321 Thanks for this. Which iPhone are you using? Let us know via DM and we'll continue from there: https://t.co/GDrqU22YpT

Past customer: @AppleSupport How do you restart the phone on the I phone 7
Apple reply: @240825 Please check out this great article for guidance on how to restart your iPhone: https://t.co/OWRDHWSt4h

Past customer: @AppleSupport why can’t I restart my phone?
Apple reply: @397911 Let's find out. Are you following these steps: https://t.co/OWRDHWSt4h",4.0,3.0,4.0,5.0,3,5,3,5,4,4
557784,@AppleSupport fix my I.T please https://t.co/XdHLEyDi4W,device_software_issue,auto_handle,@250275 We'd like to look into this further with you. Send us a Direct Message by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,"Past customer: @AppleSupport fix my I.T please https://t.co/XdHLEyDi4W
Apple reply: @250275 We'd like to look into this further with you. Send us a Direct Message by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT

Past customer: @AppleSupport please fix this! https://t.co/1vBT3IRtQr
Apple reply: @636916 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9

Past customer: @AppleSupport please fix this. https://t.co/6HJqpgmQl0
Apple reply: @237890 We'd love to help! What's going on with Siri? You can also DM us if you'd like: https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,5,4,5,4,4
1128148,#iOS11 has made my #iphone 6S+ unusable 😭 #Apple @AppleSupport #ios1103,device_software_issue,auto_handle,@610844 We understand you need the iPhone to function reliably and want to help. DM us the details of what is happening. https://t.co/GDrqU22YpT,"Past customer: @AppleSupport please can you fix IOS11 because it has made my phone unusable :(
Apple reply: @610844 We understand you need the iPhone to function reliably and want to help. DM us the details of what is happening. https://t.co/GDrqU22YpT

Past customer: Hey @AppleSupport, #ios11 is making my iphone 6S plus all but the unusable.
Apple reply: @321959 We're here to help. What exact issues are you experiencing with your device?

Past customer: @AppleSupport iOS11.0.0 on an iPhone 6s
Apple reply: @289254 That is expected behavior. Apple encourages your feedback here: https://t.co/GewaBVdeV8",4.0,3.0,4.0,5.0,3,4,3,4,3,3
1482964,https://t.co/PTDLxU0zan @AppleSupport  @115858 sério sem cabimento 7 mil reais! Poxa!,device_software_issue,auto_handle,@464353 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"Past customer: https://t.co/PTDLxU0zan @AppleSupport  @115858 sério sem cabimento 7 mil reais! Poxa!
Apple reply: @464353 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj

Past customer: @115858  @AppleSupport https://t.co/QY2M6Nowm3
Apple reply: @503577 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsr9Kz9

Past customer: @115858 @AppleSupport https://t.co/sH1Jgwp7NF
Apple reply: @362826 We'd like to see how we can help. To get started, can you describe for us what the problem is?",4.0,3.0,4.0,5.0,3,4,3,4,3,3
206469,"@AppleSupport when i try to airdrop pictures from my macbook air to iphone 7, the mac doesn’t detect my phone. i made sure bluetooth/airdrop/etc was on.",device_software_issue,auto_handle,@164888 We'd be happy to look into this with you. Can you provide us the macOS and iOS version you're using?,"Past customer: @AppleSupport when i try to airdrop pictures from my macbook air to iphone 7, the mac doesn’t detect my phone. i made sure bluetooth/airdrop/etc was on.
Apple reply: @164888 We'd be happy to look into this with you. Can you provide us the macOS and iOS version you're using?

Past customer: @AppleSupport Where the airdrop in iPhone x !!
Apple reply: @640022 We can help out. Are you using these steps: https://t.co/1sfjYKb68x

Past customer: Airdrop has stopped working on iOS 11 to my MacBook Air. @AppleSupport
Apple reply: @236949 AirDrop is an important feature to have access to so let's see what's going on. Was it failing when sending from either device?",4.0,3.0,4.0,5.0,3,4,3,4,3,3
1445585,"@AppleSupport I use the regular keyboard, I think.  I have not downloaded iOS 11.1.  Will that fix it?",device_software_issue,auto_handle,"@455451 Let's follow this article to backup, then update to 11.1 and try this again: https://t.co/80YRnjDFDk","Past customer: @AppleSupport I use the regular keyboard, I think.  I have not downloaded iOS 11.1.  Will that fix it?
Apple reply: @455451 Let's follow this article to backup, then update to 11.1 and try this again: https://t.co/80YRnjDFDk

Past customer: @AppleSupport After I downloaded iOS 11
Apple reply: @193949 Try out these steps: https://t.co/yddZBqBMPy Connect with us by DM if there's still any issue. We'll get your calls connecting. https://t.co/GDrqU22YpT

Past customer: @AppleSupport All of them. The regular and all the apps
Apple reply: @249932 Thanks. DM us what exactly is happening when you use the camera and we'll work with you there. https://t.co/GDrqU2kzhr",4.0,3.0,4.0,5.0,3,4,3,4,3,3
1507025,@AppleSupport con la última actualización falla mucho la cámara y constantemente se traba mi #iPhone7 😭,device_software_issue,auto_handle,@469761 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,"Past customer: @AppleSupport con la última actualización falla mucho la cámara y constantemente se traba mi #iPhone7 😭
Apple reply: @469761 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs

Past customer: @AppleSupport con la nueva actualización, tengo problemas para conectarme con el Bluetooth, la pantalla se traba y no me rinde la batería.
Apple reply: @212922 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs

Past customer: @AppleSupport es normal que desde la última actualización la duración de la batería se haya reducido tanto? Gracias
Apple reply: @401356 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs",4.0,3.0,4.0,5.0,3,5,2,4,3,3
2747327,"Help me pls, my back camera isn’t working and neithers my torch, FaceTime and stuff won’t work either !!!? Everything else on my phone is fine? @AppleSupport",device_software_issue,auto_handle,@580010 Go ahead and DM us which iPhone and iOS version you're using and we'll continue working there. https://t.co/GDrqU22YpT,"Past customer: @AppleSupport yes it wont work on camera, snapchat, facetime or instagram and the torch doesnt work either
Apple reply: @580010 Go ahead and DM us which iPhone and iOS version you're using and we'll continue working there. https://t.co/GDrqU22YpT

Past customer: @AppleSupport My facetime isn’t working.
Apple reply: @247627 Hello. We are here for you. What device do you have?

Past customer: @AppleSupport FaceTime isn't working!
Apple reply: @300264 We'd like to help. What happens when you try to use Facetime? Also, which device are you using?",4.0,3.0,4.0,5.0,3,4,3,4,3,3
2900428,@AppleSupport Can you send over the iPhone X,device_software_issue,auto_handle,@550412 We'd like to look into some options for that MacBook. Let us know which country you're located in via DM to get started. https://t.co/GDrqU22YpT,"Past customer: @AppleSupport Could you send me a new T :D
#justkidding
Apple reply: @550412 We'd like to look into some options for that MacBook. Let us know which country you're located in via DM to get started. https://t.co/GDrqU22YpT

Past customer: @115858 Where is my phone, why do not you send it???? @AppleSupport
Apple reply: @296504 We'd like to look into this with you. Please DM us more about the issue. https://t.co/GDrqU22YpT

Past customer: Send me a new iPhone please, mine is slow @AppleSupport
Apple reply: @253833 We'd love to help with your iPhone. Reach us via DM to continue. https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,4,3,4,3,3
483248,@AppleSupport hi! Any idea why my November Challenge achievement has disappeared even though I beat the target? 😔 https://t.co/7kLx8gCTn7,device_software_issue,auto_handle,@229946 Congrats on beating your goal! Those achievements can take up to 9 days to appear after completing the challenge. You can find more info on that here: https://t.co/xwf6lrIgzJ,"Past customer: @AppleSupport hi! Any idea why my November Challenge achievement has disappeared even though I beat the target? 😔 https://t.co/7kLx8gCTn7
Apple reply: @229946 Congrats on beating your goal! Those achievements can take up to 9 days to appear after completing the challenge. You can find more info on that here: https://t.co/xwf6lrIgzJ

Past customer: @AppleSupport What gives? I completed the November Challenge and have not received my achievement. The same thing happened in October. 😖 https://t.co/33okMr5e1r
Apple reply: @231149 Congrats on completing all your rings towards this achievement. That was a lot of hard work! If you complete an achievement but don't earn the award, you will earn the award within 9 days of completing the Activity Challenge. 

https://t.co/xwf6lrIgzJ

Past customer: @AppleSupport November’s achievement for movement calories in the activity app didn’t unlock despite meeting the target on 30.11.17. It’s now disappeared. Restarted phone and watch. Nothing. What can I do?
Apple reply: @235794 Thanks for reaching out and we can help with a bit of info. Achievements can take up to 9 days from the time they were earned until they make it to your iOS device. Check this: https://t.co/xwf6lrIgzJ",4.0,3.0,4.0,5.0,3,5,4,5,3,4
1656598,@AppleSupport @505505 NO. FIX IT NOW APPLE WTF.,device_software_issue,auto_handle,@492525 You can find a helpful tip here: https://t.co/xU1AGHStV6,"Past customer: @AppleSupport FIX THE I️ WTF
Apple reply: @492525 You can find a helpful tip here: https://t.co/xU1AGHStV6

Past customer: Wtf apple? @AppleSupport https://t.co/R29s5EnqQW
Apple reply: @631001 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT

Past customer: wtf fix this @AppleSupport https://t.co/focdj7UcII
Apple reply: @515474 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",4.0,3.0,4.0,5.0,3,3,2,4,3,3
629695,Can @AppleSupport fix the issue where my messages add random b’s with the next update? Thanks!,device_software_issue,auto_handle,@269171 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,"Past customer: Can @AppleSupport fix the issue where my messages add random b’s with the next update? Thanks!
Apple reply: @269171 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT

Past customer: @AppleSupport Random
Apple reply: @696606 Which macOS are you running on your Mac? You can check by going to the Apple logo in the top left corner and choosing About this Mac.

Past customer: @AppleSupport It’s random.
Apple reply: @397534 OK. Let's continue our discussion in DM. https://t.co/GDrqU22YpT",4.0,3.0,4.0,5.0,3,5,3,5,4,4
